event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SYR90345,2021-04-28,2021,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Islamic State in Iraq and the Levant (ISIL),,Rebel group,QSD: Syrian Democratic Forces,,Rebel group,Rebel group-Rebel group,,760,Middle East,Syria,Deir ez Zor,Deir ez Zor,Sur,Sur,35.5066,40.6618,1,Al Naba; Facebook; Liveuamap,Local partner-New media,"On 28 April 2021, a booby-trapped motorbike by IS members exploded targeting a QSD military vehicle in Sur town in Deir ez Zor countryside, disabling it, and killing two QSD members, and injuring others. 2 fatalities.",2,,1730157082
YEM47057,2020-02-01,2020,1,Political violence,Battles,Armed clash,Military Forces of Yemen (2012-2022) Hadi,Southern Resistance,State forces,Military Forces of Yemen (2017-) Houthi,,State forces,State forces-State forces,,887,Middle East,Yemen,Ad Dali,Qaatabah,,Battar,13.8176,44.578,2,Khabar News Agency (Yemen); Yemen Data Project,Local partner-National,"On 1 February 2020, joint forces and Southern Resistance fighters claimed to have thwarted attacks of pro-Houthi forces on Battar, Ghaliq and Jubb fronts (Al-Husha and Qa'atabah, Al-Dali) with no report of fatalities nor injuries.",0,,1690843400
YEM50840,2020-04-01,2020,1,Political violence,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,External/Other forces,,,,External/Other forces only,,887,Middle East,Yemen,Amran,Raydah,,Raydah,15.8142,44.0409,2,Ansar Allah; Yemen Data Project,Local partner-National,"On 1 April 2020, a Saudi-led coalition air raid was reported on Raydah district in north-western Yemen (Amran) with no report of fatalities nor injuries.",0,,1719274753
YEM82944,2023-10-20,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Yemen),Government of Yemen (2017-) Houthi,Protesters,,,,Protesters only,,887,Middle East,Yemen,Amran,Amran,,Amran,15.6594,43.9439,3,Ansar Allah,National,"On 20 October 2023, protesters held a Houthi-sponsored demonstration in Amran governorate in solidarity with the Palestinian people and their 'resistance' and to denounce the 'crimes of the Zionist enemy' in the context of the latest round of violence in Israel-Palestine. Houthi-affiliated political officials took part in the demonstration.",0,crowd size=no report,1706579784
IRN3643,2019-02-13,2019,1,Demonstrations,Protests,Peaceful protest,Protesters (Iran),Labor Group (Iran),Protesters,,,,Protesters only,,364,Middle East,Iran,Tehran,Tehran,Central,Tehran - District 11,35.6807,51.3952,1,Iranian Labour News Agency,National,"On 13 February 2019, a group of workers of Iran Cartoon paper mill protested against retirement problems, outside the Social Security Administration in Tehran.",0,crowd size=no report,1683068764
SYR6181,2017-04-25,2017,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Islamist Militia (Syria),,Political militia,,,,Political militia only,,760,Middle East,Syria,Dara,Dara,Dara,Dar'a,32.6241,36.1049,2,SOHR,Other,Islamist militants shelled 'al-Sahari' in Dar'a city. There were no reported fatalities.,0,,1720478050
SYR28558,2017-11-03,2017,1,Political violence,Battles,Government regains territory,Military Forces of Syria (2000-),Hezbollah; Military Forces of Syria (2000-) Syrian Arab Air Defense Force,State forces,Islamic State in Iraq and the Levant (ISIL),,Rebel group,State forces-Rebel group,,760,Middle East,Syria,Deir ez Zor,Deir ez Zor,Deir ez Zor,Deir-ez-Zor,35.3319,40.1461,1,Liveuamap,Local partner-New media,"Regime forces and Hezbollah announced the capture of the entire city of Deir ez-Zor from IS forces. During the course of the day, regime warplanes bombed the 'Ardhi and Hamidiya neighborhoods of the city which killed five civilians.",5,,1730157033
TUR14337,2020-11-25,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (Turkey),Labor Group (Turkey); CHP: Republican Peoples Party; DISK: Confederation of Progressive Trade Unions of Turkey; Egitim Sen: Education and Science Workers Union; Teachers (Turkey); EMEP: Labor Party,Protesters,,,,Protesters only,,792,Middle East,Turkey,Kocaeli,Gebze,,Gebze,40.8028,29.4307,1,Bianet,National,"On 25 November 2020, a group of metal workers employed in 3 factories continued their demonstration for the second day in Gebze town center, Kocaeli, to protest the pressure by their employers targeting their unionization activities, including dismissal of unionized workers or forcing them to take non-paid leave. The group launched a march to the capital city of Ankara. CHP, EMEP, Egitim-Sen and DISK also supported the event.",0,crowd size=no report,1606755336
LBN14046,2022-10-12,2022,1,Demonstrations,Riots,Violent demonstration,Rioters (Lebanon),,Rioters,,,,Rioters only,,422,Middle East,Lebanon,Akkar,Akkar,,El Aabde,34.5169,35.9683,1,El Nashra,National,"On 12 October 2022, parents of illegal migrants detained and stuck in Turkey and Greece, blocked the main road with trucks, cars and garbage dumpsters in El Aabde (Akkar), in demonstration against the government's neglect of their sons. The demonstrators demanded the return of their sons and threatened to escalate if their demands are not met.",0,crowd size=no report,1666017718
BHR1693,2019-07-27,2019,1,Demonstrations,Riots,Violent demonstration,Rioters (Bahrain),Shiite Muslim Group (Bahrain),Rioters,,,,Rioters only,,48,Middle East,Bahrain,Capital,,,Al Maamir,26.1333,50.6086,1,Al Wafa,Other,"On 27 July 2019, Shiite anti-regime rioters blocked a street in Maamir with burning tyres. They were denouncing the execution of two Shiite men.",0,crowd size=no report,1618859403
TUR18249,2021-10-05,2021,1,Strategic developments,Strategic developments,Disrupted weapons use,Military Forces of Turkey (2016-) Gendarmerie,,State forces,PKK: Kurdistan Workers Party,,Rebel group,State forces-Rebel group,,792,Middle East,Turkey,Hakkari,Hakkari,,Hakkari,37.5744,43.7408,2,Aydinlik; TRT Haber,National,"Weapons seizure: On 5 October 2021, Turkish gendarmerie forces seized a number of weapons belonging to PKK, during the security operations carried out in the central district of Hakkari. Weapons seized included a sniper rifle, 3 landmines, 82 rounds of ammunition, 10 kilograms of explosive material, a detonating cap and various other bomb-making material.",0,,1727134608
SYR82386,2019-05-26,2019,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Syria (2000-),,State forces,,,,State forces only,,760,Middle East,Syria,Aleppo,Jebel Saman,Zarbah,Jazraya,35.8612,36.9868,1,Undisclosed Source,Local partner-Other,"On 26 May 2019, regime forces artillery shelled civilian houses in Jazraya in Aleppo. Neither injuries nor fatalities were reported.",0,,1720478477
YEM21203,2018-06-19,2018,1,Political violence,Battles,Government regains territory,Military Forces of Yemen (2012-2022) Hadi,,State forces,Military Forces of Yemen (2017-) Houthi,,State forces,State forces-State forces,,887,Middle East,Yemen,Sanaa,Nihm,,Jabal al Qarn,15.7112,44.5155,1,Yemen Data Project; Yemen News Agency SABA,Local partner-National,"After reportedly taken control of the Madfun and Nahdayn heights in Al Qatab area, as well as parts of the Qarn Wada'a mountain region in Nihm district, Sana'a, pro-Hadi troops clashed with Houthi militiamen in nearby Ar Rabbah mountain range. 26 Houthi fighters were reportedly killed and dozens injured in clashes in Nihm that day. 26 fatalities spread across four events. *Note that if the exact location of Al Madfun is unclear, Al Jarjour is known to be located within the Al Madfun area.",6,,1690843523
